review_id,user_id,business_id,stars,useful,funny,cool,text,date,name,address,city,state,latitude,longitude,categories
2tk_SagPqS0aRYJZQjtyfA,yxEu1T2UhQSrYWSHPCaGjg,MFxRPt8-B2xTYmon3s84kg,4.0,0,0,0,Cute place with friendly owner.  We sampled the black sesame and ordered the ube.  Both were very good.,2018-09-25 20:48:54,KRĒM,"115 E Moana Ln, Ste 102",Reno,NV,39.4922712699,-119.7947931411,"Restaurants, Creperies, Ice Cream & Frozen Yogurt, Desserts, Patisserie/Cake Shop, Food"
xrDaNbdFjjHrtxanLeByig,AvxDvQgdmbYet6mGP6rWhg,nFjk0xVI9fNiVN__5g-m8Q,4.0,0,0,0,"We had Brunchuru at Ichicoro Ane in St. Petersburg this past Saturday and it was simply delightful.
For starters we had lightly tempura fried Cauliflower Bao Bun that were garnished with a pickled cucumber, carrots and micro greens laid on top of hot sauce! Can you say love at first bit, because that's exactly what it was.
My youngest daughter indulged in the Bubble Waffle. This is a French toast bubble waffle stuffed with guava and cream cheese, served with guava syrup. So beautifully delish, sorry I don't have a picture, just try it!
My oldest daughter and I both had Miso Ramen topped with Ajitama (half-boiled egg in a soy sauce). The Miso paired with carmalized onions, mushrooms,  bamboo shoots and impossible burger were like a symphony playing in my mouth.
The ladies topped their entree's off by sharing dessert. They had the Halo-Halo! It comes in a tall sundae glass and is comprised of shaved ice, condensed milk, ube ice cream,
flan, adzuki beans, black sesame, shaved
coconut, guava candy. So yummy to the tummy!
I topped my Miso Ramen off with So-Shu ( Shōchū ) a distilled smooth beverage that puts you in the mind of light bodied whiskey.
I could have So-Shu as a after dinner drink on most occasions.
Our waiter Huan H. was very polite, easy going and helpful. He makes dining at Ichicoro Ane top notch.
Ichicoro Ane is a great way to start the weekend.",2018-09-30 21:52:58,Ichicoro Ane,"260 1st Ave S, Ste 100",Saint Petersburg,FL,27.7701014,-82.6364594,"Ramen, Restaurants, Tapas/Small Plates, Nightlife, Japanese, Bars, Cocktail Bars"
3n57NT952KWq8CImKUwZBg,EVF4b2ZgVdl055s07nloxA,MFxRPt8-B2xTYmon3s84kg,5.0,0,0,0,"Hands down, the best soft serve ice cream I've ever had in my entire life!!!! I love anything taro flavor, so I had to get the ""ube-be-baby."" I wasn't sure how I would feel about the cake since ice cream is already sweet itself, but the vanilla cake was sooo complimentary to the ube flavor. It was perfection!  definitely my new go-to dessert spot!

Update: came back and tried the vanilla + black sesame combo and O. M. G. that was just as delicious as the Ube! Another favorite!",2018-11-11 04:41:17,KRĒM,"115 E Moana Ln, Ste 102",Reno,NV,39.4922712699,-119.7947931411,"Restaurants, Creperies, Ice Cream & Frozen Yogurt, Desserts, Patisserie/Cake Shop, Food"
tgz4CwkJmw5sqaTl7vF2nQ,trf3Qcz8qvCDKXiTgjUcEg,msHYY8zS_8D3_BJitdGdmA,3.0,1,0,1,"I have been to this location about three times total, so far.  Here are my thoughts on the restaurant and my last outing there:

Overall:
Each time, the dining room and the bathrooms have been clean and acceptable.  (I don't understand the absence of a urinal in the men's bathroom.)  The food has been good, not great.  Something is not exactly right with the tofu.  Perhaps it gets old quickly, but generally, the tofu I get here is tougher than I think it should be.

The Food:
On this most recent visit, I ordered the Bangkok Curry with beef.  The meat was good, but just didn't seem right; a little too soft and odd shaped.  I found the dish to be filled with vegetable, black sesame, and noodles (go figure).  I would certainly get this again.

The Service:
I think I primarily dealt with the manager on this last visit, and he was quite accommodating.  He provided my friends and I a complimentary rice krispies treat for dessert.  That was appreciated.  I always like a dessert to settle my meal. Hehe.",2010-01-31 00:10:46,Noodles & Company,"18 S County Center Way, Ste 81",Saint Louis,MO,38.5071729953,-90.3304754822,"Asian Fusion, Restaurants, Food, Specialty Food, Italian, Thai, Comfort Food, American (New), Fast Food, Mediterranean, Noodles, Salad, Pasta Shops"
OT02Doa4QxrCcMKu_Jr98w,eomuD528KIS5B7wPoQQqdg,hmmiyt6KljD5G3a861qsKw,3.0,1,1,0,"K & S is great for specific things. It's not really an all round grocery store, but if you like to experiment and cook Asian or Indian, or Mexican  food, it's a good cheap place to buy cheap ingredients.
Their produce section is impressive. You can find all kinds of exotic mushrooms here for a fraction of the price of gourmet stores. Oyster mushrooms and enokis are an especially good deal. They also have produce that is just downright difficult to find in other places, like yucca roots and cactus leaves. They have sales on bulk packages of vegetables like cucumbers or tomatillos. 
I buy my tofu here because they often have packages on sale for under a dollar. 
Asian condiments are abundant and cheap. Pick up some sweet chili sauce or black sesame seeds. They have entire aisles of noodles and rice. 
I was a little freaked out by the meat and seafood sections, so if you have a weak stomach, you may want to avoid these parts of the store. I did see a guy buying a live eel, which the sales clerk wrapped (alive!) in shrinkwrap on a styrofoam tray and weighed while still wiggling. Be prepared for sights like these. The meat section has parts of animals that I have no business eating, but apparently people do. Still, it's an experience.",2008-08-03 01:46:11,K & S World Market,5861 Charlotte Pike,Nashville,TN,36.147278,-86.863551,"Ethnic Food, Grocery, Food, International Grocery, Specialty Food, Imported Food"
WeCCGs1wkTW2IaQCoXGgLg,ne-yv1C8O_ppzaE62kfJmQ,3StNEgKAwpCFR1q0urmJrw,4.0,0,1,0,"Yummy. 

This was my first experience with authentic ramen. DH's, too. We had been wanting to check it out for a while but hadn't gotten the chance, so tonight we double dated with our friends M and C and decided it was a good night for ramen. 

It was definitely a good night for ramen. I don't see the whole having to wait outside thing being effective during the summer months, but fortunately it's cool enough now that it isn't a big deal. Tonight, it was cold (well, cold for Tucson, at least). And the line was long, so obviously many people aside from us thought tonight was a good night for ramen. 

There's a pretty good drink selection including wines, Asian craft beers and sodas, as well as soft drinks. The appetizers all looked delicious (hey, I haven't eaten much today) but we opted for the gyoza, which were some of the best I've ever had. M ordered edamame, which came out in a heaping bowl (and we all shared, yum) and C had the pork with bamboo shoots. 

Now the ramen, the most important part. 

Holy smokes. 

I have a child of the 80s fondness for Cup O'Noodles,  as many of us do. I've always drank the broth then eaten the noodles, followed by those vaguely vegetable-like bits of dehydrated corn and carrot. This is not that. 

We got huge bowls filled with delicious broth (DH and I had the black garlic and so should you, just saying), the perfect amount of toppings (fried onions, pickled ginger, black sesame seeds, etc), bamboo shoots, and a piece of pork so delicious and tender that I might write a poem about it later.  And also, if I could make eggs that fantastic, I'd quit my day job. 

It was an awesome experience. Food was great, service was good (I could have used a refill on my drink hence the four stars) and that ramen broth is awfully fun to slurp. 

Sorry, Cup O'Noodles, you've been replaced.",2018-02-24 05:28:20,Raijin Ramen,2995 E Speedway,Tucson,AZ,32.236453242,-110.9283937833,"Noodles, Japanese, Diners, Restaurants, Ramen"
3qDInMBG2IOfhsppxuPrOg,kO30XR2WeF6bla6dK1ZZLw,GUMVStVaJfWmCIpQA4TtHg,5.0,2,0,1,"If you're looking for affordable, yet quality sushi, one of my favorite spots to recommend would have to be Crazy Sushi in the Rittenhouse area. An added bonus? It's BYO! 

It's a slim, sleek space with comfortable seating and a sushi bar at the end. 

Salad
 
Salad was fairly standard with fresh Romaine. The ginger dressing was clearly freshly made. 

Vampire Bowl [$9]
Spicy tuna tartare, avocado bowl
  
A must order in my mind is the Vampire Bowl, their unique take on tuna tartare. I loved the contrast in textures with the crunch from the tempura and the creaminess of the avocado bowl. The sweet wasabi mayo was balanced by the light heat from the spicy tuna. 

Vegetable Tempura [$5]

The GF's a sucker for veggie tempura and this didn't disappoint. A thin layer of tempura coated mushrooms, sweet potato, and carrots. It came accompanied with a light tempura dipping sauce. 

Beef Negimaki [$6]
Scallion, thin-sliced beef, teriyaki
  
On this trip, the negimaki was a bit disappointing. The beef could have been more thinly sliced and better seasoned, though I appreciated the bite of the scallion amidst the teriyaki glaze. 

Triple Sushi [$25]
Tuna, salmon, yellowtail, tuna roll

The triple sushi featured some of our favorite nigiri rolls, including salmon, tuna, and yellowtail. All very clean-tasting and fresh, the platter also came with a tuna roll. I appreciated that the tuna was whole and not minced within the sushi. 

Uni Sushi [$8]

I was also in the mood for uni so asked for an order of uni sushi. Then again, when am I *not* in the mood for uni? Sourced from California, these were creamy, light, and buttery. 

Bloomingdale Roll [$13]
Spicy tuna, spicy salmon, spicy kani, spicy yellowtail, spicy shrimp, avocado, longan
  
I was also intrigued by their Bloomingdale specialty roll. The pink seaweed seemed a bit more delicate in texture and taste, supporting the sweetness of the lychee. This contrasted with the subtly spicy mixture of tuna, salmon, crab yellowtail, and shrimp (whoa!). Due to the laundry list of items, the flavors were a bit muddled, but definitely veers toward the sweeter side of a sushi roll. Interesting! 

Sweet Potato Roll [$5]

Of course, we also had to try our standard sweet potato roll. Crazy Sushi has one of the best iterations, with a wonderful juxtaposition of creaminess from the sweet potato and a light crunch on the exterior. The black sesame seeds studding the surrounding rice made for a perfect bite. 

So if you're not looking to go omakase and want a relaxed sushi meal, I'd recommend checking out Crazy Sushi. Whether you're looking for Americanized rolls or nigiri done right, they've got you covered.",2016-07-21 14:05:28,Crazy Sushi,1837 Chestnut St,Philadelphia,PA,39.952045,-75.17167,"Restaurants, Japanese, Sushi Bars"
zY3_VDN5n-rMroIOV0n-LQ,KdMvaHC4SH6uN305Ok1VAw,MUTTqe8uqyMdBl186RmNeA,5.0,0,0,0,"They have the most creative sushi I've ever had. Start to finish, from the wine to dessert, everything was amazing. Wine list is solid, and the cocktails looked really interesting even though we stuck to wine. The dumplings and kobe spring rolls were insanely good. We got a lot of sushi, but the standout was by far the Old City roll. If that was the only sushi I could ever have again, I'd be a happy camper. The black sesame ice cream was also to die for!

Oh and shout out to the best waiter ever, Brion. If you're lucky, you'll get him as your waiter too!",2018-01-21 01:12:46,Tuna Bar,205 Race St,Philadelphia,PA,39.953949,-75.1432262,"Sushi Bars, Restaurants, Japanese"
z8uok-By5-GcJ29CNKPizw,No-z4NfZSN7kOdSucW6eaQ,MFxRPt8-B2xTYmon3s84kg,3.0,1,0,0,Matcha and black sesame ice cream was pretty good but the cake was dry. Looks instagram worthy but you gotta eat a lot of the ice cream before you get to the cake. A-ok!,2018-12-20 06:35:21,KRĒM,"115 E Moana Ln, Ste 102",Reno,NV,39.4922712699,-119.7947931411,"Restaurants, Creperies, Ice Cream & Frozen Yogurt, Desserts, Patisserie/Cake Shop, Food"
EDg0XLD7zicYjK-Fpv2kTw,Bfhk2kIVfGfvrnsxNbuNHw,uVCMVOTyL4-j4M37o01MwA,5.0,0,0,0,"Best snowballs in the city. Really good innovative flavors like Black Sesame, Basil Lemon, and Cereal Cream. Their ice is very fluffy as well which is a must.",2018-02-15 18:45:25,Imperial Woodpecker Snoballs,3511 Magazine St,New Orleans,LA,29.9226351,-90.0911594,"Food, Shaved Ice, Ice Cream & Frozen Yogurt"
